AS23456,UN,4Byte ASN Place Holder
AS41,US,AMES - National Aeronautics and Space Administration
AS1515,US,DNIC-ASBLK-01513-01518 - Headquarters, USAISC
AS42848,LU,EC-AS European Commission
AS29217,SE,WM-DATA Logica AB
AS8190,GB,MDNX MDNX
AS15206,US,MDSG-PACWEST - Pac-West Telecomm, INC.
AS9080,CZ,GIN IPEX/GIN Autonomous System
AS29110,FR,PASTEUR-AS Institut Pasteur
AS18207,IN,YOU-INDIA-AP YOU Broadband & Cable India Ltd.
AS3935,US,EASTWAUNIV - Eastern Washington University
AS10662,US,NORFOLK-SOUTHERN - Norfolk Southern Corporation
AS18494,US,EMBARQ-WRBG - Embarq Corporation
AS47165,RU,OMKC-AS Omskie kabelnye seti Ltd.
AS8147,US,ASERICY - Ericsson Inc.
AS4637,HK,ASN-TELSTRA-GLOBAL Telstra Global
AS24105,AU,UNWIRED-CORE-AP Unwired Group, Fixed Wireless Broadband Access, Sydney
AS2920,US,LACOE - Los Angeles County Office of Education
AS14571,BR,Internet Group do Brasil SA
AS7524,JP,HANSHIN ITEC HANKYU HANSHIN CO.,LTD.
AS17547,SG,QALA-SG-AP M1 CONNECT PTE. LTD.
AS9619,JP,SSD Sony Global Solutions Inc.
AS12582,FI,TSF-DATANET-NGD-AS TSF MPLS VPN Services
AS20804,PL,ASN-TELENERGO Exatel S.A.
AS14117,CL,Telefonica del Sur S.A.
AS21283,SI,SIMOBIL-AS SI.MOBIL D.D.
AS3743,US,ARCEL-2 - ARCELORMITTAL USA INC.
AS37133,TZ,airtel-tz-as
AS33302,US,ONS-COS - Data 102, LLC
AS24157,TW,VIBO-NET-AS Vibo Telecom Inc.
AS21826,VE,Corporaci\195\179n Telemic C.A.
AS34383,FR,TELOISE-AS Teloise
AS20632,RU,PETERSTAR-AS OJSC MegaFon
AS26423,US,DOMRES - VA Power Co.
AS8339,AT,KABSI-AS Kabelsignal AG
AS8895,SA,ISU-RUH King Abdul Aziz City for Science and Technology
AS7004,CL,CTC Transmisiones Regionales S.A.
AS11479,US,BRM-SUN-AS - Sun Microsystems, Inc
AS14905,US,EMBARQ-CHVL - Embarq Corporation
AS11845,ZA,DPBOL
AS45514,IN,TELEMEDIA-SMB-AS-AP Bharti Airtel Ltd., TELEMEDIA Services, for SMB customers
AS1482,US,DNIC-AS-01482 - Headquarters, USAISC
AS23793,JP,AIST National Institute of Advanced Industrial Science and Technology
AS7782,US,ALSK-7782 - Alaska Communications Systems Group, Inc.
AS20773,DE,HOSTEUROPE-AS Host Europe GmbH
AS8153,CA,NORTEL-NETWORKS NORTEL NETWORKS SA
AS17514,JP,AICS Otsuka Corp.
AS1316,US,LERC-AS-AS - National Aeronautics and Space Administration
AS9159,FR,Credit Agricole S.A.
AS14486,US,OXY-AS - Occidental College
AS24218,MY,GTC-MY-PIP-AS Global Transit Communications - Malaysia
AS10569,CU,Red CENIAInternet
AS7154,ZA,FDDNET-ASN
AS48,US,DNIC-AS-00048 - Navy Network Information Center (NNIC)
AS39309,NL,EDUTEL-AS Edutel B.V.
AS159,US,SONNET-AS - The Ohio State University
AS8278,GR,TUC-AS Technical University of Crete
AS18127,JP,TSUKUBA-WAN Tsukuba-WAN Network
AS1133,EU,UTWENTE-AS University Twente
AS35141,BG,MEGALAN MOBILTEL EAD
AS49074,RO,TECHNOLOGICAL SC TECHNOLOGICAL SRL
AS11078,US,BROWN - Brown University
AS22566,MX,Maxcom Telecomunicaciones, S.A.B. de C.V.
AS8767,DE,MNET-AS M-net Telekommunikations GmbH, Germany
AS38640,JP,DOMIRU DOMIRU Co.,Ltd
AS1706,US,UNIV-ARIZ - University of Arizona
AS13326,US,TUFTS-UNIVERSITY - Tufts University
AS46290,US,MTSAC - MtSAC
AS37119,AO,unitel-AS
AS12091,ZA,MTNNS-AS
AS5605,DE,NETUSE NetUSE AG
AS15496,FI,Aalto University
AS41012,GB,THECLOUD The Cloud Networks Limited
AS27589,US,MOJOHOST - MOJOHOST
AS21704,US,NYCBOE-BGPNET - New York City Board of Education
AS1999,US,HOUSE-AS-1 - U.S. House of Representatives
AS12486,YE,YEMENNET TeleYemen
AS2900,US,WN-AZ-AS - Arizona Tri University Network
AS20712,GB,AS20712 Andrews and Arnold Ltd
AS22174,US,NET-SUC-TECH-ALF - State University of New York College ofTechnology at Alfred
AS46164,US,ATT-MOBILITY-LABS - AT&T Mobility Labs
AS316,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS23966,PK,LDN-AS-PK LINKdotNET Telecom Limited
AS11032,CA,UQ - Universite du Quebec
AS17431,CN,TONET Beijing TONEK Information Technology Development Company
AS5539,DE,SPACENET SpaceNET AG
AS16342,PL,TOYA Toya sp.z.o.o
AS20860,GB,IOMART-AS Iomart
AS15589,IT,ASN-EUTELIA Clouditalia Communications S.p.A.
AS12615,BG,GCN-AS Global Communication Net Plc
AS1563,US,DNIC-ASBLK-01550-01601 - DoD Network Information Center
AS37009,NA,MTCASN
AS8820,DE,TAL-DE TAL.DE Klaus Internet Service GmbH
AS28509,MX,Cablemas Telecomunicaciones SA de CV
AS15516,DK,DK-ARROWHEAD Arrowhead A/S
AS20485,RU,TRANSTELECOM TransTelecom
AS6459,US,TRANSBEAM - I-2000, Inc.
AS11388,US,MAXIM - Peer 1 Dedicated Hosting
AS14663,CA,TELUS-3 - TELUS MOBILITY
AS3330,AT,PROFINET-AT OEBB Telekom Service GmbH
AS34245,IE,MAGNET-AS Magnet Networks
AS352,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS43561,BG,NET1-AS NET1 Ltd.
AS50710,IQ,EARTHLINK-AS EarthLink Ltd. Communications&Internet Services
AS13156,PT,AS13156 Cabovisao,SA
AS1602,US,DNIC-AS-01602 - Headquarters, USAISC
AS38484,AU,VIRGIN-BROADBAND-AS-AP Virgin Broadband VISP
AS9981,KR,SAERONET-AS-KR Saero Network Service LTD
AS10255,US,SINISTER - Sinister Networks
AS14615,US,ROCK-HILL-TELEPHONE - Comporium Communications
AS36291,US,RESTON-AS - Aventis Pharmaceuticals Inc.
AS9930,MY,TTNET-MY TIME dotCom Berhad
AS5734,ZA,TIENET
AS15227,US,LUMOS - LUMOS Networks, Inc.
AS20811,IT,BRENNERCOM-AS Brennercom S.p.A.
AS35154,RU,TELENET-AS CJSC _Teleset-Service_
AS2648,US,NIST-BOULDER - NIST/U.S. Dept. of Commerce
AS31252,MD,STARNET-AS StarNet Moldova
AS34711,RO,DIGINET-AS DIGINET SA
AS14529,US,SJU-5600 - Saint Joseph_s University
AS17883,CN,CHINATELECOM-SX-AS-AP asn for Shanxi Provincial Net of CT
AS17444,HK,NWT-AS-AP AS number for New World Telephone Ltd.
AS6428,US,CDM - CDM
AS1237,KR,KREONET-AS-KR Korea Institute of Science and Technology Information
AS21378,RU,CTCTVER OJSC Rostelecom
AS19893,US,RWT - RagingWire Telecommunications
AS1403,CA,ELECTRONICBOX - ELECTRONIC BOX
AS32229,US,JSUMS-ARIN - Jackson State University
AS18429,TW,EXTRALAN-TW Extra-Lan Technologies Co., LTD
AS35094,NO,PRONEA Pronea AS
AS156,US,NORTHEASTERN-GW-AS - Northeastern University
AS10464,US,TEAMTECH - Team Technologies, LLC
AS10143,AU,EXETEL-AS-AP Exetel Pty Ltd
AS12129,US,123NET - 123.Net, Inc.
AS15914,GB,British Airways plc
AS19117,CA,HEAVYCOMPUTING - Heavy Computing
AS10030,MY,CELCOMNET-AP Celcom Internet Service Provider
AS3502,US,INTNET - Intelligence Network Online, Inc.
AS4058,HK,CITICTEL-CPC-AS4058 CITIC Telecom International CPC Limited
AS15670,NL,BBNED-AS
AS7604,AU,ZETTANET-AS ZettaNet Pty Ltd
AS8468,GB,ENTANET ENTANET International Limited
AS10201,IN,DWL-AS-IN Dishnet Wireless Limited. Broadband Wireless
AS53585,US,NYSIF - The State Insurance Fund
AS2065,EU,FR-RENATER-HDMON Reseau metropolitain de Montpellier HDMON
AS22199,US,COVAD-GB - Covad Communications Co.
AS11318,US,GU - Georgetown University
AS13335,US,CLOUDFLARENET - CloudFlare, Inc.
AS20838,ES,YIF-AS France Telecom Espana S.A
AS44320,SE,SEBNET-AS Skandinaviska Enskilda Banken AB
AS3955,US,GETRONICS-ICTO Used in EU
AS16019,CZ,VODAFONE-CZ-AS Vodafone Czech Republic a.s.
AS13376,US,MERRILL-CORPORATION - Merrill Communications LLC
AS1965,US,TUELECTRIC - Texas Utilities Services, Inc.
AS13045,DE,HTP-AS htp GmbH
AS334,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS26551,US,SARGENT-AND-LUNDY - Sargent & Lundy Engineers
AS27738,EC,Ecuadortelecom S.A.
AS12021,CA,HHES - HAMILTON HYDRO ELECTRIC SYSTEM
AS8047,US,GCI - GENERAL COMMUNICATION, INC.
AS23498,CA,CDSI - Cogeco Data Services LP
AS17232,US,AT&T US
AS6828,RU,USI OJSC Rostelecom
AS3562,US,SNLL-NET-AS - Sandia National Laboratories
AS18642,US,SPACENET-ENT2 - Spacenet, Inc.
AS27142,US,DNIC-ASBLK-27032-27159 - DoD Network Information Center
AS36923,NG,SWIFTNG-ASN
AS12418,RU,QUANTUM Quantum CJSC
AS3923,US,FAA-MMAC - Federal Aviation Agency
AS21250,SE,TYFON Tyfon Svenska AB - Sweden
AS29063,NL,ATOSORIGIN-AS Atos Nederland B.V.
AS33,US,HP-DIGITAL-33 - Hewlett-Packard Company
AS2035,US,ATK-AS2 - Alliant Techsystems
AS19332,MX,Marcatel Com, S.A. de C.V.
AS12145,US,COLORADOSTATEUNIV - Colorado State University
AS22384,US,NATIONALNET-1 - NationalNet, Inc.
AS27529,US,CSC-EMEDNY - Computer Sciences Corporation
AS36691,US,CSUP-AS - Colorado State University-Pueblo
AS302,US,BCM-INFO-NET-AS - Baylor College of Medicine
AS2831,SE,LTUNET Lulea Tekniska Universitet
AS7671,JP,MCNET NTT SmartConnect Corporation
AS21788,US,NOC - Network Operations Center Inc.
AS21491,UG,UGANDA-TELECOM Uganda Telecom
AS24193,IN,SIFY-IN Sify Limited Service Provider India
AS4662,TW,QTCN-ASN1 GCNet (Reach & Range Inc.)
AS44546,CZ,ALFATELECOM ALFA TELECOM s.r.o.
AS10546,US,MSSTATE - Mississippi State University
AS3550,PH,ERX-PHILNET Ateneo de Manila University
AS26367,US,BRADLEY-UNIVERSITY - Bradley University
AS11260,CA,EASTLINK-HSI - EastLink
AS40385,US,SAINT-MARYS-CA-AS - Saint Mary_s College of California
AS12324,PL,LUBMAN-EDU-AS Poland, Lublin
AS2873,IE,UTVI-ASN The Internet Business Ltd
AS7091,US,VIANET-ASN - ViaNet Communications
AS20311,US,VALERO - Valero Corporate Services
AS21221,NL,INFOPACT-AS InfoPact Netwerkdiensten B.V.
AS26854,US,NYS - New York State
AS5693,US,LATISYS-IRVINE - Latisys-Irvine, LLC
AS12042,US,ENVENTIS - Enventis Telecom Inc.
AS10965,CA,MRNET - MRNet
AS42682,RU,ERTH-NNOV-AS CJSC _ER-Telecom Holding_
AS28118,DO,Orange Dominicana
AS2901,US,OGT-AS - Oso Grande Technologies, Inc.
AS5522,LT,OMNITEL OMNITEL Net
AS49562,NL,XMS KPN ITNS Services B.V.
AS14017,US,BNSF-AS - Burlington Northern Sante Fe Railway Corp
AS12810,HR,VIPNET-AS VIPnet d.o.o.
AS23674,PK,MBL-AS-AP Micronet Broadband (Pvt) Ltd.
AS24268,JP,SAINS National University Corporation Shizuoka University
AS16322,IR,PARSONLINE PARSONLINE Autonomous System
AS20569,FI,AINAIP-AS AinaCom - IP Services and Transit Network
AS332,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS25220,DE,GLOBALNOC-AS Averbo GmbH
AS6703,RU,ALKAR-AS PRIVATE JOINT-STOCK COMPANY _FARLEP-INVEST_
AS11994,US,CZIO-ASN - Cruzio
AS18815,US,AS-CITY-AND-COUNTY-OF-DENVER - CITY AND COUNTY OF DENVER
AS39354,LT,DOKEDA megaNET network
AS3067,ZA,DENINF-IPLAN
AS74,CA,XDRENET-AS - Defence Research Establishment
AS30070,US,HERSHEYFOODS1 - Hershey Chocolate & Confectionery Corporation
AS6062,US,NETPLEX - NETPLEX
AS7539,TW,TANET2-TW TANet2, sponsored by NSC, TAIWAN
AS10100,SG,ASN-AP-UBSW
AS53403,CA,MOUNT-ROYAL-COLLEGE - Mount Royal University
AS24635,DE,FREUDENBERG-AS Freudenberg IT KG
AS29614,GH,GHANATEL-AS
AS24470,JP,MAIS-AS-JP MAIS(Miyazaki Area Internet Society)
AS25408,RU,WESTCALL-SPB-AS CJSC _WEST CALL LTD_
AS11303,US,DATARETURN - Data Return
AS12958,RU,MCC OJSC _Moscow Cellular Communications_,
AS11607,US,SD-STATE-UNIVERSITY - South Dakota State University
AS28202,BR,Rede Brasileira de Comunicacao Ltda
AS12552,SE,IPO-EU IP-Only Telecommunication Networks AB
AS11272,US,TELEPAK-NETWORKS-INC - Telepak Networks Inc
AS3222,FI,CORENETFI Corenet Oy
AS11139,DM,CWRIN CW BARBADOS
AS104,US,COLORADO-AS - University of Colorado at Boulder
AS42781,KW,ZNETAS-KW Zajil International Telecom Company W.L.L.
AS41272,FR,MOSELLE-TELECOM-AS MOSELLE TELECOM
AS14846,US,CGNOGE - NBC Internet
AS9723,AU,ISEEK-AS-AP ISEEK Ltd
AS8970,PL,WASK WROCMAN-EDU educational part of WASK network, Wroclaw, Poland
AS25295,DE,KIELNET-AS KielNET GmbH Gesellschaft fuer Kommunikation
AS14298,US,EPA-NET - Environmental Protection Agency
AS24033,AU,ACTIV8ME-AS-AP Australian Private Networks Pty Ltd
AS22684,CA,SSIMICRO - SSI Micro Internet Services
AS16050,GB,REUTERS-DOCKLANDS-RES-AS Thomson Corporation
AS18135,JP,BTV BTV Cable television
AS8015,US,VISI-AS - Vector Internet Services, Inc.
AS28840,RU,TATTELECOM-AS OJSC _OAO TATTELECOM_
AS15924,TR,BORUSANTELEKOM-AS Vodafone Alternatif Telekom Hizmetleri A.S.
AS39554,DK,FULLRATE Fullrate A/S
AS16253,SE,BORDERLIGHT-AS se.Borderlight AS
AS10326,US,WPI - Worcester Polytechnic Institute
AS41750,KG,NCKG Mega-Line Ltd.
AS2508,JP,KYUSHU-U Kyushu University
AS5742,US,CCINET - Consolidated Communications, Inc.
AS7502,JP,IP-KYOTO Advanced Software Technology & Management Research Institute of KYOTO
AS55379,JP,HOSEI-NET Hosei University
AS13592,US,ASN1 - Sidera Networks LLC
AS12079,US,AIRTOUCH-CELLULAR - Cellco Partnership DBA Verizon Wireless
AS36647,US,YAHOO-GQ1 - Yahoo
AS33845,CH,SWISSGOV Swiss Federation represented by FOITT
AS5578,CZ,GTS-SK-AS GTS Slovakia, a.s.
AS1554,US,DNIC-ASBLK-01550-01601 - DoD Network Information Center
AS15975,PS,HADARA-AS Hadara Technologies Private Shareholding Company
AS16160,SK,SWAN SWAN a.s.
AS15444,GB,NETSERVICES NetServices UK Limited
AS1832,US,SMU - Southern Methodist University
AS10029,IN,CITYCOMNETWORKS-AS CITYCOM NETWORKS PVT LTD
AS13280,IE,O2 Ireland
AS19384,US,GRAMTEL001 - GramTel USA, Inc.
AS17850,KR,OKSUNG-AS-KR OK-NET Co,. Ltd
AS5719,US,SUNYSB - SUNY at Stony Brook
AS23308,US,UTILITY-AS - UTILITY TELEPHONE, INC.
AS36943,ZA,webafrica
AS24164,TW,YJL-MEDIATV-NET YEONG JIA LEH CABLE TV CO., LTD.
AS47395,RU,SCARTEL-AS Scartel Ltd.
AS335,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS17941,JP,BIT-ISLE Bit-isle Co.,Ltd.
AS33529,US,PEAK-WEB-HOSTING - Peak Web Hosting Inc.
AS5739,US,UCSC - University of California, Santa Cruz
AS6527,US,MASSACHUSETTS - Commonwealth of Massachusetts
AS18784,US,MCD-US-ASN - McDonald_s Corporation
AS2511,JP,CORE NTT
AS545,US,NRI - Corporation for National Research Initiatives
AS18097,JP,DCN D.C.N. Corporation
AS8591,SI,AMIS AMiS
AS8412,AT,TMA T-Mobile Austria GmbH
AS22093,US,CCF-NETWORK - Cleveland Clinic Foundation
AS12,US,NYU-DOMAIN - New York University
AS15323,US,BSD405 - Bellevue School District
AS3782,US,SWARTHMORE - Swarthmore College
AS4266,US,CERNET-ASN-BLOCK - California Education and Research Federation Network
AS42293,RU,KOMINVEST-AS ISP Kominvest
AS7616,TH,JINET-BKK-AS-AP Jasmine Internet Co, Ltd.
AS4750,TH,CSLOXINFO-AS-AP CS LOXINFO PUBLIC COMPANY LIMITED
AS15311,CL,Telefonica Empresas
AS49362,DK,DSV DSV a/s
AS32432,US,COFAN - Colleges of the Fenway, Inc.
AS39197,NO,LOSBYNETT-NORWAY LOS Bynett AS
AS1289,US,COLGATE-UNIVERSITY - Colgate University
AS29072,RU,RDTC-AS Regional Digital Telecommunication Company
AS32125,US,WHEATON-COLLEGE - Wheaton College
AS30866,IL,ECI-TELECOM-LTD ECI Telecom-Ltd.
AS33698,US,SECURE-24-DCA - Secure-24, Inc.
AS3701,US,NERONET - Oregon Joint Graduate Schools of Engineering
AS6628,US,PPS - Portland Public Schools
AS19849,US,ARBITRON - Arbitron Inc.
AS26677,CA,ORION-ASN - ORANO
AS6377,US,4JNET - Eugene School District 4J
AS15288,US,ALCATEL-NA - Alcanet International NA
AS8665,DE,ACCESSPEOPLE-DE ISP-Service AG
AS50923,RU,METRO-SET-AS Metroset Ltd.
AS6505,BR,EQUANT DO BRASIL
AS11872,US,SYRACUSE-UNIVERSITY - Syracuse University
AS14051,US,SUREWEST - Roseville Telephone Company
AS29465,NG,VCG-AS VGC Communication Ltd.
AS10631,US,GEORGIA-STATE - Georgia State University
AS7687,JP,D-CRUISENET TOYOTA DIGITAL CRUISE.INCORPORATED
AS12897,DE,HEAGMEDIANET HSE Medianet GmbH
AS35662,GB,REDSTATION Redstation Limited
AS5690,CA,VIANET-NO - Via Computer and Communications (ViaNet)
AS19999,US,UNIONASN - Union College
AS8371,RU,VIMPELCOM-NN OJSC _Vimpelcom_
AS29484,DE,RUB-AS Ruhr-Universitaet Bochum
AS31661,DK,COMX ComX Networks A/S
AS16558,US,TOWERGROUP - TOWER GROUP INTERNATIONAL
AS9351,JP,ZLAN ZTV CO.,LTD
AS17225,US,ATT-CERFNET-BLOCK - AT&T Enhanced Network Services
AS32851,US,WAL-MART-2 - Wal-Mart Stores, Inc.
AS49287,RO,BITSPACE Bitspace SRL
AS6423,US,EASYSTREET-ONLINE - EasyStreet Online Services, Inc.
AS12695,RU,DINET-AS Digital Networks CJSC
AS29687,BG,BGWAN-AS Geodim Ltd.
AS18712,US,SUREWEST-KANSAS - SureWest Kansas Operations, LLC
AS2705,US,BJCHE-1 - BJC HEALTH SYSTEM
AS10148,AU,UNIMELB-AS-AP The University of Melbourne, Melbourne, Victoria
AS14260,US,USROYALINS - Royal&Sunalliance Insurance
AS6112,US,AUBURN - Auburn University
AS20401,US,HOSTWAY-1 - Hostway Corporation
AS34594,HR,OT-AS OT - Optima Telekom d.d.
AS14989,US,BROADVIEWNET - Broadview Networks, Inc.
AS3359,CA,U-ALBERTA - University of Alberta
AS53352,US,HFHS-ASN - Henry Ford Health System
AS9893,AU,DSE-VIC-GOV-AS Department of Sustainability & Enivronment,
AS13433,US,COXNET - Cox Enterprises Inc
AS24955,RU,UBN-AS OJSC _Ufanet_
AS5535,IT,Food And Agriculture Organization of the United Nations
AS36352,US,AS-COLOCROSSING - ColoCrossing
AS30013,US,PIXAR-AS - Pixar
AS23584,KR,HYROADPUSAN-AS-KR PUSAN CABLE TV SYSTEM CO., LTD.
AS11814,CA,DISTRIBUTEL-AS11814 - DISTRIBUTEL COMMUNICATIONS LTD.
AS23816,JP,YAHOO Yahoo Japan Corporation
AS12980,EU,AT&T Global Network Services Nederland B.V.
AS18268,JP,JANIS Naganoken Kyodou Densan Co.Ltd.
AS24698,PT,OPTIMUS-AS Optimus Comunicacoes, S.A.
AS9697,KR,CJHAEUNDAEGIJANG-AS-KR CJ CableNet HaeundaeKijang Corp.
AS11273,US,FDCSGNET - FIRST DATA CORPORATION
AS17839,KR,DREAMPLUS-AS-KR DreamcityMedia
AS1757,US,LEXIS-AS - LEXIS-NEXIS
AS6595,DE,MAGENTA-NETLOGIC-AS MAGENTA NETLOGIC LTD
AS44574,GB,A4N A4N
AS7506,JP,INTERQ GMO Internet,Inc
AS38547,PK,WITRIBE-AS-AP WITRIBE PAKISTAN LIMITED
AS3242,IT,ASN-ITNET ITnet S.r.l.
AS58113,RO,LIR-AS LIR DATACENTER TELECOM SRL
AS9947,KR,SIMNET-AS-KR Simulation Multimedia Network
AS11509,US,TIERZERO-AS11509 - Tierzero
AS37061,KE,ONECOM
AS17916,AU,CSC-IGN-AUNZ-AP Computer Sciences Corporation
AS20252,US,JSIWMC - Joan and Sanford I. Weill Medical College and Graduate School of Medical Sciences of Cornell University
AS14433,US,SUNY-OSWEGO-ASN - State University of New York - Oswego
AS19113,US,DUKE-ENERGY - Duke Energy Corporation
AS11798,US,ACEDATACENTERS-AS-1 - Ace Data Centers, Inc.
AS8025,US,BRIGHTOK-AS - BrightNet Oklahoma
AS8608,NL,QINIP EspritXB B.V.
AS17864,KR,HANVITIAB-AS-KR Hanvit I&B
AS13272,EE,STARMAN Starman AS
AS15435,NL,KABELFOON CAIW Diensten B.V.
AS29571,CI,CITelecom-AS
AS1982,US,ASN-NWNEXUS - Northwest Nexus Inc.
AS3410,US,CORNELLCOLLEGE - Cornell College
AS543,US,HP-POLYCOM - Hewlett-Packard Company
AS11105,CA,SFU-AS - Simon Fraser University
AS18042,TW,KBT Koos Broadband Telecom
AS12180,US,INTERNAP-2BLK - Internap Network Services Corporation
AS11081,CW,United Telecommunication Services (UTS)
AS34974,RU,KAMCHATKA-AS OJSC Rostelecom
AS29866,US,OPTICALTEL - HCONTROL CORP
AS4663,KR,ELIMNET-AS ELIMNET, INC
AS21243,PL,PLUSNET Polkomtel Sp. z o.o.
AS29550,GB,SIMPLYTRANSIT Simply Transit Ltd
AS18001,LK,DIALOG-AS Dialog Axiata PLC.
AS10881,BR,FUNPAR - Fundacao da UFPR para o DCTC
AS54500,US,18779 - EGIHosting
AS15418,GB,FASTHOSTS-INTERNET Fasthosts Internet Ltd. Gloucester, UK.
AS220,US,OOALC-HOSTNET-AS - 754th Electronic Systems Group
AS11355,US,SHELL - Shell Information Technology International, Inc.
AS1754,DE,DESY-HAMBURG
AS10355,US,DSCGA - Digital Service Consultants
AS12654,EU,RIPE-NCC-RIS-AS Reseaux IP Europeens Network Coordination Centre (RIPE NCC)
AS38839,TW,TIC-AS-TW Tatung InfoComm Co., Ltd.
AS6910,RO,DIALTELECOMRO Dial Telecom S.R.L.
AS45096,CN,CNNIC-ALIBABA-BJ-NET-AP Alibaba (Beijing) Technology Co., Ltd.
AS42003,LB,OGERONET LIBANTELECOM
AS3136,US,STATE-OF-WISCONSIN-AS1 - State of WI Dept. of Administration
AS12843,DE,TELEMAXX TelemaxX Telekommunikation GmbH
AS23013,US,NET-COM - Network Equipment Technologies, Inc.
AS20845,HU,DIGICABLE DIGI Ltd.
AS5407,CZ,SKYNET-CZ SkyNet
AS1483,US,DNIC-AS-01483 - Headquarters, USAISC
AS4237,US,CSC-IGN-FTW - Computer Sciences Corporation
AS34572,FR,HELIANTIS-AS Heliantis SAS
AS3228,IT,ASN-NETTUNO Tiscali Italia S.P.A.
AS39400,GB,LBH-AS London Borough of Hackney
AS36866,KE,JTL
AS12455,KE,JAMBONET
AS1708,EU,FR-CNET-ISSY - Centre National d_Etudes des Telecommunication -- CNET
AS43754,IR,ASIATECH-AS AsiaTech Inc.
AS3455,US,WAUSAU-INS - Liberty Mutual Group
AS33217,US,SCHNEIDER - Schneider National, Inc.
AS9370,JP,SAKURA-B SAKURA Internet Inc.
AS16082,GB,SPITFIRE Spitfire Network Services Autonomous System
AS362,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS3766,CA,DNDCFNET2 - Department of National Defence/DISEM
AS9354,JP,TDNC Community Network Center Inc.
AS23237,CA,MCMASTER - McMaster University
AS44944,BE,BASE-AS KPN Group Belgium NV/SA
AS39608,UA,LANETUA-AS Lanet Network Ltd.
AS41666,CH,MYGATE MYGATE Management AG
AS28590,BR,Directnet Prestacao de Servicos Ltda.
AS2269,EU,FR-U-PARISSUD-ORSAY FR
AS48431,IR,MAXNET-AS Bozorg Net-e Aria
AS10794,US,BANK-OF-AMERICA Bank of America
AS9044,CH,SOLNET BSE Software GmbH
AS3999,US,PENN-STATE - The Pennsylvania State University
AS8542,NO,BKKB BKK Fiber AS
AS33885,SE,OWNIT Ownit Broadband AB
AS17032,US,QUALCOMM-QWBS-SD - Qualcomm, Inc.
AS31027,DK,NIANET-AS Nianet A/S
AS23719,AU,USYD-AS-AP University of Sydney
AS37981,CN,LINGTONG-AS-AP CHANGSHA LINGTONG COMMUNICATION TECHNOLOGY CO., LTD
AS24275,JP,TOTO TOTO LTD.
AS6736,IR,IRANET-IPM Research Center of Theoretical Physics & Mathematics (IPM)
AS25640,US,HAWAII-DEPT-OF-EDUC - Hawaii Department of Education
AS11552,US,PHOENIX-LIFE-INSURANCE-COMPANY - Phoenix Life Insurance, Inc.
AS38809,AU,NXGNET-AS-AP Nextgen Networks
AS9650,AU,CITEC-AU-AP QLD Government Business (IT)
AS33894,RU,RIKT-AS JSC _RITC_
AS29,US,YALE-AS - Yale University
AS34305,NL,BASEIP Base IP B.V.
AS11916,US,UNDP - UNDP
AS7543,AU,PI-AU Pacific Internet (Australia) Pty Ltd
AS5408,GR,GR-NET Greek Research and Technology Network S.A
AS57166,UA,UA-D2INVESTUKRAINE-AS D2 International Investment Ukraine LLC
AS27257,US,WEBAIR-INTERNET - Webair Internet Development Company Inc.
AS19009,US,ONECLEVELAND - OneCleveland
AS46520,US,CA-DOJ - California Department of Justice
AS7602,VN,SPT-AS-VN Saigon Postel Corporation
AS6834,DK,AS6834 KMD A/S
AS1463,US,DNIC-ASBLK-01462-01463 - Headquarters, USAISC
AS31122,IE,DIGIWEB-AS Digiweb Ltd.
AS8580,RU,SANDY CJSC _Comstar-Regions_
AS43612,MK,BLIZOO Blizoo DOOEL Skopje
AS25512,CZ,CDT-AS CD-Telematika a.s.
AS14751,US,ONECOM-CVT - One Communications Corporation
AS21385,DE,TNIB Trusted Network GmbH
AS29308,DE,SIEMENS Siemens AG
AS38666,KR,ACT-AS-KR Actelecom
AS13194,LT,BITE UAB _Bite Lietuva_
AS9822,AU,AMNET-AU-AP Amnet IT Services Pty Ltd
AS25996,US,FBICJIS - FBI Criminal Justice Information Systems
AS47003,US,ALPS-AS-1 - Arapahoe School District
AS278,MX,Universidad Nacional Autonoma de Mexico
AS17577,KR,GIGAPASS-AS-KR YOUNGNAM CABLE NETWORK
AS4818,MY,DIGIIX-AP DiGi Telecommunications Sdn. Bhd.
AS56132,AU,MONASHUNI-AU-AS-AP Monash University,
AS48147,RU,SIRIUS-AS LLC Sirius
AS22063,US,JPGETTYTRUST - J. Paul Getty Trust
AS19441,US,ARRIS2 - Arris Group, Inc
AS16889,US,STEVENS-TECH - Stevens Institute of Technology
AS29899,US,GEISINGER - Geisinger System Services
AS18734,MX,Operbes, S.A. de C.V.
AS9615,JP,TEES TOYOHASHI CABLE NETWORK INC.
AS18148,JP,FUKUOKA-U Fukuoka University
AS24436,AU,UQ-AS-AP University of Queensland
AS52075,FR,WIFIRST Wifirst S.A.S.
AS8376,JO,Jordan Data Communications Company LLC
AS4618,TH,INET-TH-AS Internet Thailand Company Limited
AS22408,US,WKNET - West Ky Networks
AS1704,KR,KAIST-SEOUL-AS-KR Korea Advanced Institute of Science and Technology
